,ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher
0,034545104X,Flesh Tones: A Novel,M. J. Rose,2002,Ballantine Books
20,0446520802,The Notebook,Nicholas Sparks,1996,Warner Books
63,038550120X,A Painted House,JOHN GRISHAM,2001,Doubleday
124,0425115801,Lightning,Dean R. Koontz,1996,Berkley Publishing Group
160,0449006522,Manhattan Hunt Club,JOHN SAUL,2002,Ballantine Books
201,0553561618,Dark Paradise,TAMI HOAG,1994,Bantam
238,055356451X,Night Sins,TAMI HOAG,1995,Bantam
280,0060517794,Little Altars Everywhere,Rebecca Wells,2003,HarperTorch
304,0451192001,How Stella Got Her Groove Back,Terry McMillan,1997,Signet Book
320,0609801279,The Law of Love,Laura Esquivel,1997,Three Rivers Press (CA)
326,0671537458,Waiting to Exhale,Terry McMillan,1995,Pocket
341,0679776818,Birdsong: A Novel of Love and War,Sebastian Faulks,1997,Vintage Books USA
358,0684867621,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner
404,0451166892,The Pillars of the Earth,Ken Follett,1996,Signet Book
468,034544003X,Southampton Row (Charlotte &amp; Thomas Pitt Novels (Hardcover)),Anne Perry,2002,Ballantine Books
472,0380711524,See Jane Run,Joy Fielding,1992,Avon
486,0451167317,The Dark Half,Stephen King,1994,Signet Book
547,0553572369,Pay Dirt (Mrs. Murphy Mysteries (Paperback)),RITA MAE BROWN,1996,Bantam
554,3499230933,Adressat unbekannt.,Kathrine Kressmann Taylor,2002,Rowohlt Tb.
559,3442136644,Endlich Nichtraucher.,Allen Carr,1992,Goldmann
561,0345443683,"Blackwood Farm (Rice, Anne, Vampire Chronicles.)",ANNE RICE,2003,Ballantine Books
578,043935806X,Harry Potter and the Order of the Phoenix (Book 5),J. K. Rowling,2003,Scholastic
756,055310666X,False Memory,Dean R. Koontz,1999,Bantam Books
768,0330332775,Bridget Jones's Diary,Helen Fielding,1997,Picador (UK)
828,3423084049,Der Englishche Patient,Michael Ondaatje,0,Deutscher Taschenbuch Verlag (DTV)
833,3548603203,Artemis Fowl.,Eoin Colfer,2003,Ullstein TB-Vlg
840,0061054143,The X-Files: Goblins,Charles Grant,1994,HarperEntertainment
847,0061054151,Whirlwind (The X-Files),Charles Grant,1995,HarperEntertainment
861,0061056774,The X-Files: Ground Zero,Kevin J. Anderson,1996,HarperEntertainment
870,0671021346,"Blooded (Buffy the Vampire Slayer, Book 5)",Christopher Golden,1998,Simon Spotlight Entertainment
871,0671024108,Speaking in Tongues,Jeffery Deaver,2002,Pocket
896,0064405176,Walk Two Moons,Sharon Creech,1996,HarperTrophy
913,0440498058,A Wrinkle In Time,MADELEINE L'ENGLE,1998,Yearling
977,0440414121,The Watsons Go to Birmingham - 1963 (Yearling Newbery),CHRISTOPHER PAUL CURTIS,1997,Yearling
983,0671749609,PERFUME : PERFUME,Patrick Suskind,1991,Washington Square Press
989,0140062718,The Rebel Angels,Robertson Davies,1983,Penguin Books
996,0060096195,The Boy Next Door,Meggin Cabot,2002,Avon Trade
1037,0375821813,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers
1047,0786817070,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids
1112,2253044903,Le Parfum : Histoire d'un meurtrier,Patrick SÃ?Â¼skind,1988,LGF
1127,2253150711,Stupeur Et Tremblements,Amelie Nothomb,2001,Distribooks
1145,0440225825,Move to Strike,Perri O'Shaughnessy,2001,Island
1170,0316781266,The Last Time They Met : A Novel,Anita Shreve,2002,Back Bay Books
1231,0345446860,Back When We Were Grownups : A Novel (Ballantine Reader's Circle),ANNE TYLER,2002,Ballantine Books
1276,0380005239,Go Ask Alice (Avon/Flare Book),James Jennings,1991,Avon Books
1294,1593080255,The Picture of Dorian Gray,Oscar Wilde,2003,Barnes &amp; Noble Books-Imports
1298,0385729340,The Second Summer of the Sisterhood,ANN BRASHARES,2003,Delacorte Books for Young Readers
1321,0446364193,Along Came a Spider (Alex Cross Novels),James Patterson,1993,Warner Books
1415,3379015180,Schlafes Bruder,Robert Schneider,1994,"Reclam, Leipzig"
1433,3404148576,Nordermoor,Arnaldur Indridason,2003,LÃ?Â¼bbe
1440,3423071516,Der Kleine Hobbit,J. R. R. Tolkien,2002,Distribooks
1446,3442413508,Auf Ehre und Gewissen. Roman.,Elizabeth George,1992,Goldmann
